Race,Crimes,Violent,Non-violent
White,"Embezzlement,Identity Theft,Cybercrime,Drug Trafficking,Murder",1,4
White,"Embezzlement,Fraud,Cybercrime,Drug Trafficking,Arson",0,5
White,"Bank Heist,Cybercrime,Insurance Fraud,Drug Trafficking,Art Theft",1,4
White,"Embezzlement,Fraud,Identity Theft,Drug Trafficking,Money Laundering",0,5
White,"Embezzlement, Insurance Fraud, Cybercrime, Identity Theft, Drug Trafficking",0,5
White,"Embezzlement, Identity Theft, Drug Trafficking, Cybercrime, Burglary",0,5
White,"Embezzlement, Identity Theft, Money Laundering, Cybercrime, Drug Trafficking",0,5
White,"Bank Robbery, Identity theft, Arson*, Drug Trafficking, Fraud",2,3
White,"Embezzlement, Identity Theft, Insurance Fraud, Drug Trafficking, Cybercrime",0,5
White,"Embezzlement, Identity Theft, Burglary, Drug Trafficking, Fraud",0,5
White,"Bank Robbery, Identity theft, Drug Trafficking, Cybercrime, Insurance Fraud",1,4
White,"Embezzlement, Fraud, Cybercrime, Drug Trafficking, Identity theft",0,5
White,"Embezzlement, Identity Theft, Arson*, Drug Trafficking, Fraud",0,5
White,"Embezzlement, Identity Theft, Fraud, Drug Trafficking, Money Laundering",0,5
White,"Embezzlement, Fraud, Drug Trafficking, Cybercrime, Arson*",1,4
White,"Embezzlement, Identity Theft, Fraud, Money Laundering, Cybercrime",0,5
White,"Embezzlement, Identity Theft, Drug Trafficking, Arson, Fraud",1,4
White,"Embezzlement, Identity Theft, Drug Trafficking, Arson, Fraud",1,4
White,"Embezzlement, Forgery, Hacking, Drug Trafficking, Kidnapping",1,4
White,"Embezzlement, Identity Theft, Cybercrime, Money Laundering, Art Theft",0,5
White,"Bank Robbery, Fraud, Cybercrime, Drug Trafficking, Embezzlement",1,4
White,"Embezzlement, Fraud, Cybercrime, Drug Trafficking, Identity Theft",0,5
White,"Bank Robbery, Embezzlement, Identity Theft, Drug Trafficking, Arson",2,3
White,"Embezzlement, Identity Theft, Drug Trafficking, Arson, Fraud",1,4
White,"Bank Robbery, Embezzlement, Identity Theft, Drug Trafficking, Money Laundering",1,4
White,"Bank Robbery, Fraud, Cybercrime, Arson, Drug Trafficking",2,3
White,"Embezzlement, Identity Theft, Drug Trafficking, Money Laundering, Fraud",0,5
White,"Bank Robbery, Fraud, Drug Trafficking, Identity Theft, Arson",2,3
